customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,charge_per_tenure,effective_tenure_paid,revenue_potential,onlinesecurity_flag,onlinebackup_flag,deviceprotection_flag,techsupport_flag,streamingtv_flag,streamingmovies_flag,service_count,has_premium_services,has_phone,has_internet,has_bundle,loyalty_segment,contract_risk,is_electronic_check,is_auto_payment
8091-TTVAX,Male,0,1,0,58,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,0,Credit card (automatic),100.35,5681.1,0,1.7301724137931034,56.61285500747385,5820.299999999999,0,0,1,0,1,1,3,1,1,1,1,Loyal (4-6yr),2,0,1
0280-XJGEX,Male,0,0,0,49,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,1,2.1163265306122447,48.56605593056895,5081.3,0,1,1,0,1,1,4,1,1,1,1,Loyal (4-6yr),3,0,1
5129-JLPIS,Male,0,0,0,25,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,105.5,2686.05,0,4.22,25.46018957345972,2637.5,1,0,1,1,1,1,5,1,1,1,1,Established (2-4yr),3,1,0
3655-SNQYZ,Female,0,1,1,69,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),113.25,7895.15,0,1.641304347826087,69.71434878587196,7814.25,1,1,1,1,1,1,6,1,1,1,1,Loyal (4-6yr),1,0,1
8191-XWSZG,Female,0,0,0,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.65,1022.95,0,0.3971153846153846,49.53753026634383,1073.8,0,0,0,0,0,0,0,0,1,0,0,Loyal (4-6yr),2,0,0
9959-WOFKT,Male,0,0,1,71,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,0,Bank transfer (automatic),106.7,7382.25,0,1.5028169014084507,69.18697282099343,7575.7,1,0,1,0,1,1,4,1,1,1,1,Loyal (4-6yr),1,0,1
4190-MFLUW,Female,0,1,1,10,1,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Credit card (automatic),55.2,528.35,1,5.5200000000000005,9.571557971014492,552.0,0,0,1,1,0,0,2,0,1,1,1,New (0-12m),3,0,1
4183-MYFRB,Female,0,0,0,21,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,90.05,1862.9,0,4.288095238095238,20.687395891171573,1891.05,0,1,1,0,0,1,3,1,1,1,1,Developing (1-2yr),3,1,0
8779-QRDMV,Male,1,0,0,1,0,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,39.65,39.65,1,39.65,1.0,39.65,0,0,1,0,0,1,2,0,0,1,0,New (0-12m),3,1,0
1680-VDCWW,Male,0,1,0,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),19.8,202.25,0,1.6500000000000001,10.214646464646464,237.60000000000002,0,0,0,0,0,0,0,0,1,0,0,New (0-12m),2,0,1
1066-JKSGK,Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.15,20.15,1,20.15,1.0,20.15,0,0,0,0,0,0,0,0,1,0,0,New (0-12m),3,0,0
3638-WEABW,Female,0,1,0,58,1,Yes,DSL,No,Yes,No,Yes,No,No,Two year,1,Credit card (automatic),59.9,3505.1,0,1.032758620689655,58.51585976627713,3474.2,0,1,0,1,0,0,2,0,1,1,1,Loyal (4-6yr),1,0,1
6322-HRPFA,Male,0,1,1,49,1,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Credit card (automatic),59.6,2970.3,0,1.2163265306122448,49.83724832214765,2920.4,1,1,0,1,0,0,3,1,1,1,1,Loyal (4-6yr),3,0,1
6865-JZNKO,Female,0,0,0,30,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),55.3,1530.6,0,1.8433333333333333,27.678119349005424,1659.0,1,1,0,0,0,0,2,0,1,1,1,Established (2-4yr),3,0,1
6467-CHFZW,Male,0,1,1,47,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.35,4749.15,1,2.1138297872340424,47.802214393558124,4669.45,0,1,0,0,1,1,3,1,1,1,1,Established (2-4yr),3,1,0
8665-UTDHZ,Male,0,1,1,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,30.2,30.2,1,30.2,1.0,30.2,0,1,0,0,0,0,1,0,0,1,0,New (0-12m),3,1,0
5248-YGIJN,Male,0,1,0,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),90.25,6369.45,0,1.2534722222222223,70.57562326869805,6498.0,1,1,1,1,1,1,6,1,1,1,1,Loyal (4-6yr),1,0,1
8773-HHUOZ,Female,0,0,1,17,1,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Mailed check,64.7,1093.1,1,3.8058823529411767,16.894899536321482,1099.9,0,0,0,0,1,1,2,0,1,1,1,Developing (1-2yr),3,0,0
3841-NFECX,Female,1,1,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,1,Credit card (automatic),96.35,6766.95,0,1.3570422535211266,70.23300467047224,6840.849999999999,1,1,1,1,0,0,4,1,1,1,1,Loyal (4-6yr),1,0,1
4929-XIHVW,Male,1,1,0,2,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),95.5,181.65,0,47.75,1.9020942408376964,191.0,0,0,1,0,1,1,3,1,1,1,1,New (0-12m),3,0,1
6827-IEAUQ,Female,0,1,1,27,1,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,0,Mailed check,66.15,1874.45,0,2.45,28.33635676492819,1786.0500000000002,1,1,1,1,0,0,4,1,1,1,1,Established (2-4yr),2,0,0
7310-EGVHZ,Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.2,20.2,0,20.2,1.0,20.2,0,0,0,0,0,0,0,0,1,0,0,New (0-12m),3,0,1
3413-BMNZE,Male,1,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),45.25,45.25,0,45.25,1.0,45.25,0,0,0,0,0,0,0,0,1,1,1,New (0-12m),3,0,1
6234-RAAPL,Female,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,0,Bank transfer (automatic),99.9,7251.7,0,1.3875000000000002,72.58958958958958,7192.8,1,1,0,1,1,0,4,1,1,1,1,Loyal (4-6yr),1,0,1
6047-YHPVI,Male,0,0,0,5,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.7,316.9,1,13.940000000000001,4.5466284074605445,348.5,0,0,0,0,0,0,0,0,1,1,1,New (0-12m),3,1,0
6572-ADKRS,Female,0,0,0,46,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Credit card (automatic),74.8,3548.3,0,1.626086956521739,47.43716577540108,3440.7999999999997,0,0,1,0,0,0,1,0,1,1,1,Established (2-4yr),3,0,1
5380-WJKOV,Male,0,0,0,34,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.35,3549.25,1,3.1279411764705882,33.37329572167372,3615.8999999999996,0,1,1,0,1,1,4,1,1,1,1,Established (2-4yr),3,1,0
8168-UQWWF,Female,0,0,0,11,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),97.85,1105.4,1,8.895454545454545,11.29688298415943,1076.35,0,0,1,0,1,1,3,1,1,1,1,New (0-12m),3,0,1
8865-TNMNX,Male,0,1,1,10,1,No,DSL,No,Yes,No,No,No,No,One year,0,Mailed check,49.55,475.7,0,4.955,9.600403632694249,495.5,0,1,0,0,0,0,1,0,1,1,1,New (0-12m),2,0,0
9489-DEDVP,Female,0,1,1,70,1,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,1,Credit card (automatic),69.2,4872.35,0,0.9885714285714287,70.40968208092485,4844.0,1,1,0,0,1,0,3,1,1,1,1,Loyal (4-6yr),1,0,1
9867-JCZSP,Female,0,1,1,17,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.75,418.25,0,1.2205882352941178,20.156626506024097,352.75,0,0,0,0,0,0,0,0,1,0,0,Developing (1-2yr),2,0,0
4671-VJLCL,Female,0,0,0,63,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,1,Credit card (automatic),79.85,4861.45,0,1.2674603174603174,60.882279273638076,5030.549999999999,1,1,1,1,1,0,5,1,1,1,1,Loyal (4-6yr),1,0,1
4080-IIARD,Female,0,1,0,13,1,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,1,Electronic check,76.2,981.45,0,5.861538461538462,12.87992125984252,990.6,1,1,0,1,1,0,4,1,1,1,1,Developing (1-2yr),3,1,0
3714-NTNFO,Female,0,0,0,49,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.5,3906.7,0,1.7244897959183674,46.233136094674556,4140.5,0,0,0,0,0,1,1,0,1,1,1,Loyal (4-6yr),3,1,0
5948-UJZLF,Male,0,0,0,2,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,0,Mailed check,49.25,97.0,0,24.625,1.9695431472081217,98.5,0,1,0,0,0,0,1,0,1,1,1,New (0-12m),3,0,0
7760-OYPDY,Female,0,0,0,2,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.65,144.15,1,40.325,1.78735275883447,161.3,0,0,0,0,1,0,1,0,1,1,1,New (0-12m),3,1,0
7639-LIAYI,Male,0,0,0,52,1,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),79.75,4217.8,0,1.5336538461538463,52.88777429467085,4147.0,1,0,0,1,1,1,4,1,1,1,1,Loyal (4-6yr),1,0,1
2954-PIBKO,Female,0,1,1,69,1,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,1,Credit card (automatic),64.15,4254.1,0,0.9297101449275363,66.3148869836321,4426.35,1,0,1,1,0,0,3,1,1,1,1,Loyal (4-6yr),1,0,1
8012-SOUDQ,Female,1,0,0,43,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,90.25,3838.75,0,2.0988372093023258,42.53462603878116,3880.75,0,1,0,0,1,0,2,0,1,1,1,Established (2-4yr),3,1,0
9420-LOJKX,Female,0,0,0,15,1,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.1,1426.4,1,6.6066666666666665,14.39354187689203,1486.5,1,1,0,0,1,1,4,1,1,1,1,Developing (1-2yr),3,0,1
6575-SUVOI,Female,1,1,0,25,1,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,1,Credit card (automatic),69.5,1752.65,0,2.78,25.21798561151079,1737.5,1,0,0,1,1,0,3,1,1,1,1,Established (2-4yr),3,0,1
7495-OOKFY,Female,1,1,0,8,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),80.65,633.3,1,10.08125,7.852448853068815,645.2,0,1,0,0,0,0,1,0,1,1,1,New (0-12m),3,0,1
4667-QONEA,Female,1,1,1,60,1,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,1,Credit card (automatic),74.85,4456.35,0,1.2474999999999998,59.537074148296604,4491.0,1,1,1,1,0,1,5,1,1,1,1,Loyal (4-6yr),2,0,1
1658-BYGOY,Male,1,0,0,18,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.45,1752.55,1,5.302777777777778,18.36092194866422,1718.1000000000001,0,0,0,0,1,1,2,0,1,1,1,Developing (1-2yr),3,1,0
8769-KKTPH,Female,0,1,1,63,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,1,Credit card (automatic),99.65,6311.2,0,1.581746031746032,63.333667837431,6277.950000000001,1,0,0,0,1,1,3,1,1,1,1,Loyal (4-6yr),2,0,1
5067-XJQFU,Male,1,1,1,66,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,108.45,7076.35,0,1.6431818181818183,65.2498847395113,7157.7,0,1,1,1,1,1,5,1,1,1,1,Loyal (4-6yr),2,1,0
3957-SQXML,Female,0,1,1,34,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),24.95,894.3,0,0.7338235294117647,35.8436873747495,848.3,0,0,0,0,0,0,0,0,1,0,0,Established (2-4yr),1,0,1
5954-BDFSG,Female,0,0,0,72,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),107.5,7853.7,0,1.4930555555555556,73.05767441860465,7740.0,0,0,1,1,1,1,4,1,1,1,1,Loyal (4-6yr),1,0,1
0434-CSFON,Female,0,1,0,47,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,100.5,4707.1,0,2.1382978723404253,46.83681592039802,4723.5,0,0,1,0,1,1,3,1,1,1,1,Established (2-4yr),3,1,0
1215-FIGMP,Male,0,0,0,60,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.9,5450.7,0,1.4983333333333335,60.63070077864293,5394.0,0,1,0,0,1,0,2,0,1,1,1,Loyal (4-6yr),3,0,1
0526-SXDJP,Male,0,1,0,72,0,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,0,Bank transfer (automatic),42.1,2962.0,0,0.5847222222222223,70.3562945368171,3031.2000000000003,1,1,1,0,0,0,3,1,0,1,0,Loyal (4-6yr),1,0,1
0557-ASKVU,Female,0,1,1,18,1,No,DSL,No,No,Yes,Yes,No,No,One year,1,Credit card (automatic),54.4,957.1,0,3.022222222222222,17.59375,979.1999999999999,0,0,1,1,0,0,2,0,1,1,1,Developing (1-2yr),2,0,1
5698-BQJOH,Female,0,0,0,9,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,94.4,857.25,1,10.488888888888889,9.08103813559322,849.6,0,0,0,0,1,1,2,0,1,1,1,New (0-12m),3,1,0
5122-CYFXA,Female,0,0,0,3,1,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,75.3,244.1,0,25.099999999999998,3.2416998671978754,225.89999999999998,0,1,0,1,1,1,4,1,1,1,1,New (0-12m),3,1,0
8627-ZYGSZ,Male,0,1,0,47,1,Yes,Fiber optic,No,Yes,No,No,No,No,One year,1,Electronic check,78.9,3650.35,0,1.6787234042553192,46.265525982256015,3708.3,0,1,0,0,0,0,1,0,1,1,1,Established (2-4yr),2,1,0
3410-YOQBQ,Female,0,0,0,31,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,79.2,2497.2,0,2.5548387096774197,31.530303030303028,2455.2000000000003,0,1,1,1,1,1,5,1,1,1,1,Established (2-4yr),1,0,0
3170-NMYVV,Female,0,1,1,50,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.15,930.9,0,0.40299999999999997,46.198511166253105,1007.4999999999999,0,0,0,0,0,0,0,0,1,0,0,Loyal (4-6yr),1,0,1
7410-OIEDU,Male,0,0,0,10,1,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,1,Mailed check,79.85,887.35,0,7.984999999999999,11.112711333750784,798.5,1,0,1,0,0,0,2,0,1,1,1,New (0-12m),3,0,0
2273-QCKXA,Male,0,0,0,1,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,0,Mailed check,49.05,49.05,0,49.05,1.0,49.05,0,0,0,1,0,0,1,0,1,1,1,New (0-12m),3,0,0
0731-EBJQB,Female,0,1,1,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,20.4,1090.65,0,0.3923076923076923,53.46323529411765,1060.8,0,0,0,0,0,0,0,0,1,0,0,Loyal (4-6yr),2,1,0
1891-QRQSA,Male,1,1,1,64,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),111.6,7099.0,0,1.74375,63.611111111111114,7142.4,1,0,1,1,1,1,5,1,1,1,1,Loyal (4-6yr),1,0,1
8028-PNXHQ,Male,0,1,1,62,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),24.25,1424.6,0,0.3911290322580645,58.74639175257732,1503.5,0,0,0,0,0,0,0,0,1,0,0,Loyal (4-6yr),1,0,1
5630-AHZIL,Female,0,0,1,3,1,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,1,Bank transfer (automatic),64.5,177.4,0,21.5,2.750387596899225,193.5,1,0,0,1,0,1,3,1,1,1,1,New (0-12m),3,0,1
2673-CXQEU,Female,1,0,0,56,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,0,Electronic check,110.5,6139.5,0,1.9732142857142858,55.56108597285068,6188.0,1,1,1,0,1,1,5,1,1,1,1,Loyal (4-6yr),2,1,0
6416-JNVRK,Female,0,0,0,46,1,No,DSL,No,No,No,No,No,Yes,One year,0,Credit card (automatic),55.65,2688.85,0,1.2097826086956522,48.31716082659479,2559.9,0,0,0,0,0,1,1,0,1,1,1,Established (2-4yr),2,0,1
5590-ZSKRV,Female,0,1,1,8,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,0,Mailed check,54.65,482.25,0,6.83125,8.82433668801464,437.2,1,1,0,0,0,0,2,0,1,1,1,New (0-12m),3,0,0
0191-ZHSKZ,Male,1,0,0,30,1,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,74.75,2111.3,0,2.4916666666666667,28.24481605351171,2242.5,1,1,0,0,1,1,4,1,1,1,1,Established (2-4yr),3,1,0
3887-PBQAO,Female,0,1,1,45,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),25.9,1216.6,0,0.5755555555555555,46.972972972972975,1165.5,0,0,0,0,0,0,0,0,1,0,0,Established (2-4yr),2,0,1
5919-TMRGD,Female,0,0,1,1,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,79.35,79.35,1,79.35,1.0,79.35,0,0,0,0,1,0,1,0,1,1,1,New (0-12m),3,1,0
8108-UXRQN,Female,0,1,1,11,0,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,50.55,565.35,0,4.595454545454545,11.183976261127597,556.05,1,0,0,0,1,1,3,1,0,1,0,New (0-12m),3,1,0
9191-MYQKX,Female,0,1,0,7,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),75.15,496.9,1,10.735714285714286,6.612109115103126,526.0500000000001,0,0,1,0,0,0,1,0,1,1,1,New (0-12m),3,0,1
9919-YLNNG,Female,0,0,0,42,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.8,4327.5,0,2.4714285714285715,41.690751445086704,4359.599999999999,0,1,1,1,1,1,5,1,1,1,1,Established (2-4yr),3,0,1
0318-ZOPWS,Female,0,1,0,49,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),20.15,973.35,0,0.41122448979591836,48.30521091811415,987.3499999999999,0,0,0,0,0,0,0,0,1,0,0,Loyal (4-6yr),1,0,1
4445-ZJNMU,Male,0,0,0,9,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.3,918.75,0,11.033333333333333,9.25226586102719,893.6999999999999,0,1,0,0,1,1,3,1,1,1,1,New (0-12m),3,0,1
4808-YNLEU,Female,0,1,0,35,1,No,DSL,Yes,No,No,No,Yes,No,One year,1,Bank transfer (automatic),62.15,2215.45,0,1.7757142857142856,35.646822204344325,2175.25,1,0,0,0,1,0,2,0,1,1,1,Established (2-4yr),2,0,1
1862-QRWPE,Female,0,1,1,48,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.65,1057.0,0,0.4302083333333333,51.186440677966104,991.1999999999999,0,0,0,0,0,0,0,0,1,0,0,Established (2-4yr),1,0,1
2796-NNUFI,Female,0,1,1,46,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.95,927.1,0,0.43369565217391304,46.471177944862156,917.6999999999999,0,0,0,0,0,0,0,0,1,0,0,Established (2-4yr),1,0,0
3016-KSVCP,Male,0,1,0,29,0,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,0,Mailed check,33.75,1009.25,0,1.1637931034482758,29.903703703703705,978.75,0,0,0,0,1,0,1,0,0,1,0,Established (2-4yr),3,0,0
4767-HZZHQ,Male,0,1,1,30,1,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),82.05,2570.2,0,2.735,31.32480195003047,2461.5,0,1,1,0,0,0,2,0,1,1,1,Established (2-4yr),3,0,1
2424-WVHPL,Male,1,0,0,1,1,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,0,Electronic check,74.7,74.7,0,74.7,1.0,74.7,0,0,0,1,0,0,1,0,1,1,1,New (0-12m),3,1,0
7233-PAHHL,Male,0,1,1,66,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Mailed check,84.0,5714.25,0,1.2727272727272727,68.02678571428571,5544.0,1,0,1,1,1,1,5,1,1,1,1,Loyal (4-6yr),1,0,0
6067-NGCEU,Female,0,0,0,65,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),111.05,7107.0,0,1.7084615384615385,63.9981990094552,7218.25,1,1,1,0,1,1,5,1,1,1,1,Loyal (4-6yr),3,0,1
9848-JQJTX,Male,0,0,0,72,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),100.9,7459.05,0,1.401388888888889,73.92517343904856,7264.8,0,1,1,0,1,1,4,1,1,1,1,Loyal (4-6yr),1,0,1
8637-XJIVR,Female,0,0,0,12,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,78.95,927.35,1,6.579166666666667,11.746041798606713,947.4000000000001,1,0,0,0,0,0,1,0,1,1,1,New (0-12m),3,1,0
9803-FTJCG,Male,0,1,1,71,1,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,1,Credit card (automatic),66.85,4748.7,0,0.9415492957746479,71.03515332834705,4746.349999999999,1,1,0,1,0,0,3,1,1,1,1,Loyal (4-6yr),2,0,1
0278-YXOOG,Male,0,0,0,5,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,21.05,113.85,1,4.21,5.40855106888361,105.25,0,0,0,0,0,0,0,0,1,0,0,New (0-12m),3,0,0
3212-KXOCR,Male,0,0,0,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),21.0,1107.2,0,0.40384615384615385,52.72380952380953,1092.0,0,0,0,0,0,0,0,0,1,0,0,Loyal (4-6yr),1,0,1
4598-XLKNJ,Female,1,1,0,25,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,98.5,2514.5,1,3.94,25.527918781725887,2462.5,0,1,1,0,1,1,4,1,1,1,1,Established (2-4yr),3,1,0
6380-ARCEH,Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.2,20.2,0,20.2,1.0,20.2,0,0,0,0,0,0,0,0,1,0,0,New (0-12m),3,0,0
