customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,charge_per_tenure,effective_tenure_paid,revenue_potential,onlinesecurity_flag,onlinebackup_flag,deviceprotection_flag,techsupport_flag,streamingtv_flag,streamingmovies_flag,service_count,has_premium_services,has_phone,has_internet,has_bundle,loyalty_segment,contract_risk,is_electronic_check,is_auto_payment,historical_ltv,churn_probability,expected_remaining_months,predictive_ltv,total_ltv,ltv_segment
8191-XWSZG,Female,0,0,0,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.65,1022.95,0,0.3971153846153846,49.53753026634383,1073.8,0,0,0,0,0,0,0,0,1,0,0,Loyal (4-6yr),2,0,0,1022.95,0.13584563668877428,7.361296427142705,146.84970242872888,1169.799702428729,Medium Value
9959-WOFKT,Male,0,0,1,71,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,0,Bank transfer (automatic),106.7,7382.25,0,1.5028169014084507,69.18697282099343,7575.7,1,0,1,0,1,1,4,1,1,1,1,Loyal (4-6yr),1,0,1,7382.25,0.21816355036975993,4.583717116379547,477.9087248877008,7860.1587248877,High Value
4190-MFLUW,Female,0,1,1,10,1,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Credit card (automatic),55.2,528.35,1,5.5200000000000005,9.571557971014492,552.0,0,0,1,1,0,0,2,0,1,1,1,New (0-12m),3,0,1,528.35,0.25003524843361596,3.9994361045678675,216.2455773116964,744.5955773116964,Low Value
4183-MYFRB,Female,0,0,0,21,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,90.05,1862.9,0,4.288095238095238,20.687395891171573,1891.05,0,1,1,0,0,1,3,1,1,1,1,Developing (1-2yr),3,1,0,1862.9,0.6507263171162038,1.5367443634854936,136.935380195703,1999.835380195703,Medium Value
8779-QRDMV,Male,1,0,0,1,0,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,39.65,39.65,1,39.65,1.0,39.65,0,0,1,0,0,1,2,0,0,1,0,New (0-12m),3,1,0,39.65,0.9344158252564942,1.070187354463419,42.070006726372135,81.72000672637213,Low Value
1680-VDCWW,Male,0,1,0,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),19.8,202.25,0,1.65,10.214646464646464,237.6,0,0,0,0,0,0,0,0,1,0,0,New (0-12m),2,0,1,202.25,0.31376407193611555,3.1871080516943526,62.01945728259023,264.2694572825902,Low Value
1066-JKSGK,Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.15,20.15,1,20.15,1.0,20.15,0,0,0,0,0,0,0,0,1,0,0,New (0-12m),3,0,0,20.15,0.6590701210992782,1.5172892352214011,30.255806800537396,50.40580680053739,Low Value
3638-WEABW,Female,0,1,0,58,1,Yes,DSL,No,Yes,No,Yes,No,No,Two year,1,Credit card (automatic),59.9,3505.1,0,1.032758620689655,58.51585976627713,3474.2,0,1,0,1,0,0,2,0,1,1,1,Loyal (4-6yr),1,0,1,3505.1,0.0576614668011727,17.342604263748324,963.5186858993425,4468.618685899342,High Value
6322-HRPFA,Male,0,1,1,49,1,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Credit card (automatic),59.6,2970.3,0,1.2163265306122448,49.83724832214765,2920.4,1,1,0,1,0,0,3,1,1,1,1,Loyal (4-6yr),3,0,1,2970.3,0.20430220834806753,4.89470969543467,284.69456528741335,3254.9945652874135,High Value
6865-JZNKO,Female,0,0,0,30,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),55.3,1530.6,0,1.8433333333333333,27.678119349005424,1659.0,1,1,0,0,0,0,2,0,1,1,1,Established (2-4yr),3,0,1,1530.6,0.2236402128822207,4.471467752208975,241.73469130574136,1772.3346913057412,Medium Value
6467-CHFZW,Male,0,1,1,47,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.35,4749.15,1,2.1138297872340424,47.80221439355813,4669.45,0,1,0,0,1,1,3,1,1,1,1,Established (2-4yr),3,1,0,4749.15,0.6257489328121241,1.5980850266991053,157.06802384841745,4906.218023848417,High Value
8665-UTDHZ,Male,0,1,1,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,30.2,30.2,1,30.2,1.0,30.2,0,1,0,0,0,0,1,0,0,1,0,New (0-12m),3,1,0,30.2,0.755873706576467,1.32297233162037,39.57058757115677,69.77058757115677,Low Value
5248-YGIJN,Male,0,1,0,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),90.25,6369.45,0,1.2534722222222223,70.57562326869805,6498.0,1,1,1,1,1,1,6,1,1,1,1,Loyal (4-6yr),1,0,1,6369.45,0.03805085192585193,26.280620521944087,2122.1721547515467,8491.622154751547,High Value
8773-HHUOZ,Female,0,0,1,17,1,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Mailed check,64.7,1093.1,1,3.8058823529411767,16.894899536321482,1099.9,0,0,0,0,1,1,2,0,1,1,1,Developing (1-2yr),3,0,0,1093.1,0.5507840749986144,1.8155935245631707,116.10525942103506,1209.205259421035,Medium Value
3841-NFECX,Female,1,1,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,1,Credit card (automatic),96.35,6766.95,0,1.3570422535211266,70.23300467047224,6840.849999999999,1,1,1,1,0,0,4,1,1,1,1,Loyal (4-6yr),1,0,1,6766.95,0.11338131140874948,8.819795675099515,816.0373833335835,7582.987383333583,High Value
4929-XIHVW,Male,1,1,0,2,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),95.5,181.65,0,47.75,1.9020942408376964,191.0,0,0,1,0,1,1,3,1,1,1,1,New (0-12m),3,0,1,181.65,0.8401806665939694,1.1902201987745402,112.63783494849258,294.28783494849256,Low Value
6827-IEAUQ,Female,0,1,1,27,1,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,0,Mailed check,66.15,1874.45,0,2.45,28.33635676492819,1786.0500000000002,1,1,1,1,0,0,4,1,1,1,1,Established (2-4yr),2,0,0,1874.45,0.14298024815168778,6.993973034227076,447.6183468435468,2322.068346843547,Medium Value
7310-EGVHZ,Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.2,20.2,0,20.2,1.0,20.2,0,0,0,0,0,0,0,0,1,0,0,New (0-12m),3,0,1,20.2,0.628311622748437,1.5915669292025485,31.805924366870048,52.00592436687005,Low Value
3413-BMNZE,Male,1,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),45.25,45.25,0,45.25,1.0,45.25,0,0,0,0,0,0,0,0,1,1,1,New (0-12m),3,0,1,45.25,0.7225581012746426,1.383971750141519,62.00845126019218,107.25845126019217,Low Value
6234-RAAPL,Female,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,0,Bank transfer (automatic),99.9,7251.7,0,1.3875000000000002,72.58958958958958,7192.8,1,1,0,1,1,0,4,1,1,1,1,Loyal (4-6yr),1,0,1,7251.7,0.07357319290952687,13.591907058182215,1278.731377599125,8530.431377599125,High Value
6047-YHPVI,Male,0,0,0,5,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.7,316.9,1,13.94,4.5466284074605445,348.5,0,0,0,0,0,0,0,0,1,1,1,New (0-12m),3,1,0,316.9,0.7799100177991162,1.2821991988536978,88.52713658216817,405.42713658216815,Low Value
6572-ADKRS,Female,0,0,0,46,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Credit card (automatic),74.8,3548.3,0,1.626086956521739,47.43716577540108,3440.8,0,0,1,0,0,0,1,0,1,1,1,Established (2-4yr),3,0,1,3548.3,0.42753438571679353,2.3389931509799493,172.5516222426688,3720.851622242669,High Value
5380-WJKOV,Male,0,0,0,34,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.35,3549.25,1,3.127941176470588,33.37329572167372,3615.9,0,1,1,0,1,1,4,1,1,1,1,Established (2-4yr),3,1,0,3549.25,0.6363882201698821,1.5713678668235764,165.34209208548984,3714.5920920854896,High Value
8168-UQWWF,Female,0,0,0,11,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),97.85,1105.4,1,8.895454545454545,11.29688298415943,1076.35,0,0,1,0,1,1,3,1,1,1,1,New (0-12m),3,0,1,1105.4,0.8793925963269854,1.137148532039914,110.28770916463237,1215.6877091646325,Medium Value
8865-TNMNX,Male,0,1,1,10,1,No,DSL,No,Yes,No,No,No,No,One year,0,Mailed check,49.55,475.7,0,4.955,9.600403632694247,495.5,0,1,0,0,0,0,1,0,1,1,1,New (0-12m),2,0,0,475.7,0.2558835602155505,3.908027538610229,189.74681324067654,665.4468132406765,Low Value
9489-DEDVP,Female,0,1,1,70,1,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,1,Credit card (automatic),69.2,4872.35,0,0.9885714285714288,70.40968208092485,4844.0,1,1,0,0,1,0,3,1,1,1,1,Loyal (4-6yr),1,0,1,4872.35,0.08278155311227561,12.079985967933123,792.1039430847012,5664.453943084702,High Value
9867-JCZSP,Female,0,1,1,17,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.75,418.25,0,1.2205882352941178,20.156626506024097,352.75,0,0,0,0,0,0,0,0,1,0,0,Developing (1-2yr),2,0,0,418.25,0.21939133604304423,4.558065136190253,92.4287957834455,510.6787957834455,Low Value
4671-VJLCL,Female,0,0,0,63,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,1,Credit card (automatic),79.85,4861.45,0,1.2674603174603174,60.88227927363808,5030.549999999999,1,1,1,1,1,0,5,1,1,1,1,Loyal (4-6yr),1,0,1,4861.45,0.05826723794258119,17.16230312796771,1271.998669664083,6133.448669664083,High Value
4080-IIARD,Female,0,1,0,13,1,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,1,Electronic check,76.2,981.45,0,5.861538461538462,12.87992125984252,990.6,1,1,0,1,1,0,4,1,1,1,1,Developing (1-2yr),3,1,0,981.45,0.5189573408676004,1.926940658220935,145.06150001319855,1126.5115000131987,Medium Value
3714-NTNFO,Female,0,0,0,49,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.5,3906.7,0,1.7244897959183674,46.23313609467456,4140.5,0,0,0,0,0,1,1,0,1,1,1,Loyal (4-6yr),3,1,0,3906.7,0.6676729490225867,1.4977392770875477,125.25451680528211,4031.954516805282,High Value
5948-UJZLF,Male,0,0,0,2,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,0,Mailed check,49.25,97.0,0,24.625,1.9695431472081215,98.5,0,1,0,0,0,0,1,0,1,1,1,New (0-12m),3,0,0,97.0,0.6290450857970132,1.5897111710728637,77.45679872534924,174.45679872534924,Low Value
7760-OYPDY,Female,0,0,0,2,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.65,144.15,1,40.325,1.78735275883447,161.3,0,0,0,0,1,0,1,0,1,1,1,New (0-12m),3,1,0,144.15,0.8552357314626049,1.1692682651247774,93.45656960597533,237.60656960597532,Low Value
7639-LIAYI,Male,0,0,0,52,1,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),79.75,4217.8,0,1.5336538461538465,52.88777429467085,4147.0,1,0,0,1,1,1,4,1,1,1,1,Loyal (4-6yr),1,0,1,4217.8,0.0656355545684106,15.235644866193985,1136.6372688567967,5354.437268856796,High Value
2954-PIBKO,Female,0,1,1,69,1,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,1,Credit card (automatic),64.15,4254.1,0,0.9297101449275365,66.3148869836321,4426.35,1,0,1,1,0,0,3,1,1,1,1,Loyal (4-6yr),1,0,1,4254.1,0.0690897435897436,14.473928372610873,871.2803183261466,5125.380318326147,High Value
8012-SOUDQ,Female,1,0,0,43,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,90.25,3838.75,0,2.0988372093023258,42.53462603878116,3880.75,0,1,0,0,1,0,2,0,1,1,1,Established (2-4yr),3,1,0,3838.75,0.5764021203651383,1.7348999329955996,154.808814898006,3993.558814898006,High Value
9420-LOJKX,Female,0,0,0,15,1,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.1,1426.4,1,6.6066666666666665,14.39354187689203,1486.5,1,1,0,0,1,1,4,1,1,1,1,Developing (1-2yr),3,0,1,1426.4,0.6698083061888908,1.492964465743715,146.43071410578244,1572.8307141057826,Medium Value
6575-SUVOI,Female,1,1,0,25,1,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,1,Credit card (automatic),69.5,1752.65,0,2.78,25.21798561151079,1737.5,1,0,0,1,1,0,3,1,1,1,1,Established (2-4yr),3,0,1,1752.65,0.21991556379418983,4.547199764978253,308.8566537571018,2061.506653757102,Medium Value
7495-OOKFY,Female,1,1,0,8,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),80.65,633.3,1,10.08125,7.852448853068815,645.2,0,1,0,0,0,0,1,0,1,1,1,New (0-12m),3,0,1,633.3,0.8430530568446568,1.1861649653970268,94.80044291045205,728.100442910452,Low Value
4667-QONEA,Female,1,1,1,60,1,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,1,Credit card (automatic),74.85,4456.35,0,1.2474999999999998,59.53707414829661,4491.0,1,1,1,1,0,1,5,1,1,1,1,Loyal (4-6yr),2,0,1,4456.35,0.14631903763339252,6.834380653223917,495.25616539671785,4951.606165396718,High Value
1658-BYGOY,Male,1,0,0,18,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.45,1752.55,1,5.302777777777778,18.36092194866422,1718.1,0,0,0,0,1,1,2,0,1,1,1,Developing (1-2yr),3,1,0,1752.55,0.7973095999204631,1.254217935040236,118.6007438611035,1871.1507438611034,Medium Value
8769-KKTPH,Female,0,1,1,63,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,1,Credit card (automatic),99.65,6311.2,0,1.581746031746032,63.333667837431,6277.950000000001,1,0,0,0,1,1,3,1,1,1,1,Loyal (4-6yr),2,0,1,6311.2,0.2849232804783341,3.509716715044074,343.2706579073129,6654.470657907313,High Value
5067-XJQFU,Male,1,1,1,66,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,108.45,7076.35,0,1.6431818181818183,65.2498847395113,7157.7,0,1,1,1,1,1,5,1,1,1,1,Loyal (4-6yr),2,1,0,7076.35,0.3736486319646857,2.6763111502426487,285.85704427478913,7362.20704427479,High Value
3957-SQXML,Female,0,1,1,34,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),24.95,894.3,0,0.7338235294117647,35.8436873747495,848.3,0,0,0,0,0,0,0,0,1,0,0,Established (2-4yr),1,0,1,894.3,0.14137101631206905,7.07358570438903,170.6955406134639,1064.9955406134638,Medium Value
5954-BDFSG,Female,0,0,0,72,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),107.5,7853.7,0,1.4930555555555556,73.05767441860465,7740.0,0,0,1,1,1,1,4,1,1,1,1,Loyal (4-6yr),1,0,1,7853.7,0.1695770445285053,5.897024581248104,616.1048484569594,8469.804848456959,High Value
0434-CSFON,Female,0,1,0,47,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,100.5,4707.1,0,2.1382978723404253,46.83681592039802,4723.5,0,0,1,0,1,1,3,1,1,1,1,Established (2-4yr),3,1,0,4707.1,0.6048092567978608,1.6534138470275097,164.34942019671772,4871.449420196718,High Value
1215-FIGMP,Male,0,0,0,60,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.9,5450.7,0,1.4983333333333335,60.63070077864293,5394.0,0,1,0,0,1,0,2,0,1,1,1,Loyal (4-6yr),3,0,1,5450.7,0.33525950101735075,2.9827640886104128,263.7614067936682,5714.461406793668,High Value
0526-SXDJP,Male,0,1,0,72,0,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,0,Bank transfer (automatic),42.1,2962.0,0,0.5847222222222223,70.3562945368171,3031.2000000000003,1,1,1,0,0,0,3,1,0,1,0,Loyal (4-6yr),1,0,1,2962.0,0.07354514603044014,13.597090412820753,539.078925118854,3501.078925118854,High Value
0557-ASKVU,Female,0,1,1,18,1,No,DSL,No,No,Yes,Yes,No,No,One year,1,Credit card (automatic),54.4,957.1,0,3.022222222222222,17.59375,979.2,0,0,1,1,0,0,2,0,1,1,1,Developing (1-2yr),2,0,1,957.1,0.3147197805349705,3.1774297703823025,169.8862413204654,1126.9862413204655,Medium Value
5698-BQJOH,Female,0,0,0,9,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,94.4,857.25,1,10.488888888888887,9.08103813559322,849.6,0,0,0,0,1,1,2,0,1,1,1,New (0-12m),3,1,0,857.25,0.8525646709656176,1.172931548837693,109.73100903264242,966.9810090326424,Medium Value
5122-CYFXA,Female,0,0,0,3,1,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,75.3,244.1,0,25.1,3.2416998671978754,225.9,0,1,0,1,1,1,4,1,1,1,1,New (0-12m),3,1,0,244.1,0.6446231855830616,1.551293875809788,115.58280156870843,359.68280156870844,Low Value
8627-ZYGSZ,Male,0,1,0,47,1,Yes,Fiber optic,No,Yes,No,No,No,No,One year,1,Electronic check,78.9,3650.35,0,1.6787234042553192,46.265525982256015,3708.3,0,1,0,0,0,0,1,0,1,1,1,Established (2-4yr),2,1,0,3650.35,0.30238391779882234,3.30705418224426,256.3121052195883,3906.6621052195883,High Value
3410-YOQBQ,Female,0,0,0,31,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,79.2,2497.2,0,2.55483870967742,31.530303030303028,2455.2000000000003,0,1,1,1,1,1,5,1,1,1,1,Established (2-4yr),1,0,0,2497.2,0.11507370549314284,8.690082549393434,661.2715156733501,3158.47151567335,High Value
3170-NMYVV,Female,0,1,1,50,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.15,930.9,0,0.4029999999999999,46.19851116625311,1007.5,0,0,0,0,0,0,0,0,1,0,0,Loyal (4-6yr),1,0,1,930.9,0.10235964933752341,9.769474656000174,188.30276227304432,1119.2027622730443,Medium Value
7410-OIEDU,Male,0,0,0,10,1,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,1,Mailed check,79.85,887.35,0,7.984999999999999,11.112711333750784,798.5,1,0,1,0,0,0,2,0,1,1,1,New (0-12m),3,0,0,887.35,0.6386509678580894,1.5658004924877897,123.7056179594455,1011.0556179594455,Medium Value
2273-QCKXA,Male,0,0,0,1,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,0,Mailed check,49.05,49.05,0,49.05,1.0,49.05,0,0,0,1,0,0,1,0,1,1,1,New (0-12m),3,0,0,49.05,0.66090698632675,1.5130722184643446,73.44657757630557,122.49657757630557,Low Value
0731-EBJQB,Female,0,1,1,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,20.4,1090.65,0,0.3923076923076923,53.46323529411765,1060.8,0,0,0,0,0,0,0,0,1,0,0,Loyal (4-6yr),2,1,0,1090.65,0.17064711862128668,5.860046205756791,116.20117712394311,1206.8511771239432,Medium Value
1891-QRQSA,Male,1,1,1,64,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),111.6,7099.0,0,1.74375,63.61111111111112,7142.4,1,0,1,1,1,1,5,1,1,1,1,Loyal (4-6yr),1,0,1,7099.0,0.21384649338171435,4.67625156805825,509.7522001448902,7608.752200144891,High Value
8028-PNXHQ,Male,0,1,1,62,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),24.25,1424.6,0,0.3911290322580645,58.74639175257732,1503.5,0,0,0,0,0,0,0,0,1,0,0,Loyal (4-6yr),1,0,1,1424.6,0.06399757311190479,15.62559252444497,353.9084080736377,1778.5084080736376,Medium Value
5630-AHZIL,Female,0,0,1,3,1,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,1,Bank transfer (automatic),64.5,177.4,0,21.5,2.750387596899225,193.5,1,0,0,1,0,1,3,1,1,1,1,New (0-12m),3,0,1,177.4,0.5359175953474603,1.8659585142966868,118.93239268802974,296.33239268802976,Low Value
2673-CXQEU,Female,1,0,0,56,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,0,Electronic check,110.5,6139.5,0,1.9732142857142856,55.56108597285068,6188.0,1,1,1,0,1,1,5,1,1,1,1,Loyal (4-6yr),2,1,0,6139.5,0.48257712031545297,2.072207649103455,226.08062577392934,6365.58062577393,High Value
